shortcode,influencer_profile,nb_comments,nb_likes,post_text,Hashtags
BrVF4KIB4mj,_getyourprettyon,57,382,"❤️ if you love this #ootd! This look is from the Closet Staples Casual Capsule Wardrobe Builder and we've linked up plenty of options via LIKEtoKNOW.it to help you complete your look. .
.
🎁 5 Days of Giveaways - If you’re popping over from our stories give us a 'like' and be sure to tag a pal who would rock this cozy look to enter the giveaway! You and your friend could win a Closet Staples Casual Capsule Wardrobe Builder membership! .
.
.
Giveaway closes at 9am CT tomorrow! Winners will be announced on this post! Per Instagram rules, this promotion is in no way sponsored, administered, or associated with Instagram, Inc. By entering, entrants confirm that they are 13+ years of age, release Instagram of responsibility, and agree to Instagram’s terms of use. #gypo #getyourprettyon #winterstyle #capsulewardrobe #giveaway http://liketk.it/2yIpE #liketkit @liketoknow.it","['#ootd', '#gypo', '#getyourprettyon', '#winterstyle', '#capsulewardrobe', '#giveaway', '#liketkit']"
BXU60dXhALb,_hanna_bohman_,14,482,"I always make sure to say hi to the girls because it's inspiring for them to see anorher girl doing things they've been told they can't do.

#girlscandoanything #girlpower #beaninspiration #beahero #iraq #syria #partofthesolution","['#girlscandoanything', '#girlpower', '#beaninspiration', '#beahero', '#iraq', '#syria', '#partofthesolution']"
Bs_hoBPlaJT,zerowasteguy,8,477,"Who you callin’ imperfect? This cute kumquat came from a local community garden around the corner from my home. Something like this would never be sold in a store. Heck, a piece of fruit that small and in that condition probably wouldn’t even leave the farm. I literally rinsed it off, then popped the whole thing in my mouth, peel and all. It was sweet, tangy and delicious. 
#zerowaste #packagefree #plasticfree #urbangarden #kumquat","['#zerowaste', '#packagefree', '#plasticfree', '#urbangarden', '#kumquat']"
Blw40iPFJyu,_foxandcoffee,5,81,"Hello hello ✨✨
Voilà un week-end qui était vivement attendu car avec cette chaleur les journées m’ont paru très longues 🤭 Ce matin c’est direction l’Instameet de @igersclermontferrand au domaine royal de Randan ⚜️⚜️⚜️
J’ai super hâte ! Et vous quoi de prévu pour ce week-end ? 
Bonne journée 😘

#quote #pinterest #inspiration #mood #moodoftheday #inspirationalquotes","['#quote', '#pinterest', '#inspiration', '#mood', '#moodoftheday', '#inspirationalquotes']"
Bqc4ZWeAgIZ,_beautykath_,4,209,"*Werbung wegen Markenverlinkung /PR Sample 
Hey Beauties 💜
Heute zeige ich Euch das Contour Kit von @kissnypro_de 🌸 Es enthält  einen Bronzer, ein Setting Puder und einen Highlighter ✨
Die Farben habe ich für Euch auf dem nächsten Bild geswatcht (wischt nach rechts).
Der Bronzer wärmt das Gesicht schön auf, ohne zu rötlich zu sein. Für eine Contour wäre mir der Ton allerdings zu warm. Zum Vergleich habe ich Euch auf dem dritten Bild die Farben des KISS NY Pro Bronzers (rechts) und des Benefit Hoola Bronzers (links) geswatcht.
Das Setting Powder benutze ich super gerne, weil es diesen tollen Airbrush-Effekt hat. Die Haut sieht direkt viel weicher aus 🥰😍
Der Highlighter gibt einen schönen Schimmer auf die Wangen. 
Ich finde die Palette super für den Alltag und zum Reisen 💗💕💓
Kleiner Tipp: Den enthaltenen Pinsel würde ich nicht weiter benutzen, weil die Puder dann wahnsinnig viel Kickback haben. Mit meinen Pinseln ist das nicht der Fall 😊

#beyourownpro #kissnypro #kissnyprogermany #kisscosmetics #kiss #kissclub #kosmetik  #contourkit #bronzer #highlighter #beautyblogger #beautybloggers #beautyblogger_de #beautylover #beautyaddict #makeuplover #makeupinsta #makeupblogger #blogger_deutschland #germanblogger #blogger_de #germanbeautyblogger","['#beyourownpro', '#kissnypro', '#kissnyprogermany', '#kisscosmetics', '#kiss', '#kissclub', '#kosmetik', '#contourkit', '#bronzer', '#highlighter', '#beautyblogger', '#beautybloggers', '#beautyblogger_de', '#beautylover', '#beautyaddict', '#makeuplover', '#makeupinsta', '#makeupblogger', '#blogger_deutschland', '#germanblogger', '#blogger_de', '#germanbeautyblogger']"
BvXYJ8TAlL_,_hookitup,11,83,"I dont even need to make a caption for this beautiful girl! @keepingupwithkarringten is rocking our ""Dashiki Crochet Dress"" .
@Tukkatot headband
.
.
. .
.
.
.
.
.
#fashion #hookitupcrochet #crochet #handmade #yarnaddict #etsyfinds #Shopify  #igdaily #photooftheday #whatstrending #pinterest #shopsmall #support #springfashion #kidsfashion #crochetersofinstagram #kidzootd #momswithcameras #fashionguru #ootd #love #girls #instagram #california #dashiki #dashikidress #myblackisbeautiful #blackgirlmagic #naturalhair #brownbabesreptoo","['#fashion', '#hookitupcrochet', '#crochet', '#handmade', '#yarnaddict', '#etsyfinds', '#Shopify', '#igdaily', '#photooftheday', '#whatstrending', '#pinterest', '#shopsmall', '#support', '#springfashion', '#kidsfashion', '#crochetersofinstagram', '#kidzootd', '#momswithcameras', '#fashionguru', '#ootd', '#love', '#girls', '#instagram', '#california', '#dashiki', '#dashikidress', '#myblackisbeautiful', '#blackgirlmagic', '#naturalhair', '#brownbabesreptoo']"
Bs4qfxuAyhI,_danielglick,3,270,"Been having a blast kicking this spring semester off with @primestudent, and you should too!!! Events on events coming to campus this spring, cya there!!
◾️
◾️
◾️
#primestudentrep #ad","['#primestudentrep', '#ad']"
BusyHpvhgOo,_rebeccajaynee,69,292,"Moody AF ✨ I think I need to get a new hairstyle, always rocking the half up, instant face lift vibe!",[]
BvZTBwcAZvM,_summerella_,445,99569,Good morning Miami 👅 my mirco links blend so well thanks @thedutchessmonroe looks like my real hair !!! Yes I have leave out ✨,[]
BvT6E0IHE7y,zombijana,10,2265,#zombijana #art #illustration,"['#zombijana', '#art', '#illustration']"
BspWEL_lKil,zezivotazeny,15,167,"🤰 WAITING TIME 🤰Poslední dva týdny. Mně je neuvěřitelně dobře. Ale už si dávám pohov a ne každý den se vydávám na  procházku a do města. Třeba včera jsem měla totálně odpočinkový den a z domu vytáhla paty jen když jsem šla pro Esterku do školky. Až teď, nakonci, je to takové očekávání v pravém slova smyslu. Očekávání kdy. Když volám manželovi, začínám raději větou *nerodim*. Každý den si říkám, tak co dneska. Ale pravdou je, že mám ještě čas. A vím, jak moc jsem chtěla pořídit o trochu dřív Esterku, a jak jsem si pak říkala, že nebylo kam pospíchat. No nic neuděláme a všechno je, jak má být. Tak jdeme čekat dále ❤ Hezký den 😍
.
.
.
#waiting #waitingfor #babygirl #lilly #38weekspregnant #pregnantstyle #bedtime #reading #magazine #magazines #lifestyle #coffee #inbed #bed #home #look #pregnancy #momoftwo #momtobe #mommy #mom #momlife #moment #bloggers #bloggerlife #dream #joy","['#waiting', '#waitingfor', '#babygirl', '#lilly', '#38weekspregnant', '#pregnantstyle', '#bedtime', '#reading', '#magazine', '#magazines', '#lifestyle', '#coffee', '#inbed', '#bed', '#home', '#look', '#pregnancy', '#momoftwo', '#momtobe', '#mommy', '#mom', '#momlife', '#moment', '#bloggers', '#bloggerlife', '#dream', '#joy']"
BSXUO8fh4ZF,_mngx,4,97,"Thank you Seattle and Vancouver for the amazing week! Had a fun spring break just exploring, until next time!",[]
BlJH55hnvyL,_fedesavi,178,1171,"Buonasera..🌙
Il weekend è vicino😍 FINALMENTE!!!!!🔝
In questi giorni di💎saldi💎avete fatto acquisti??🛍🛍🛍🛍
.
.
.
#Bag : @stellazak #stallazak 👜
#Bracciale : @happinessbtq 💎
.
.
#saldi #weekend #shopping #pois #collaborazione #collaboration #influencer #influenceritalia #igers #igersitalia #me #love #dettagli","['#Bag', '#stallazak', '#Bracciale', '#saldi', '#weekend', '#shopping', '#pois', '#collaborazione', '#collaboration', '#influencer', '#influenceritalia', '#igers', '#igersitalia', '#me', '#love', '#dettagli']"
Bhrtp0EnSZL,_shannonnicole,39,7953,❤️👩‍👦🐶,[]
BtD0h3aAAgD,zinafashionvibe,22,854,Embroidery Obsession @dior #dior,['#dior']
Br2Syl2hZpO,_tasteofstyle_,20,631,"Tempo di grandi brindisi. Io voglio lasciarmi alle spalle questo 2018. Totalmente. Mi vorrei portare dietro poche, pochissime cose. Ma brindo con slancio a questo 2019, che so mi porterà tanto: cambiamenti, nuovi modi di pensare la mia vita qui e altrove, nuovi lavori e progetti che partiranno e nuovi viaggi che non vedo l’ora di fare. 2019 non mi deludere, mi raccomando. Ripongo tantissime speranze in te! E voi, cosa vi augurate per questo 2019? Che progetti avete? Grazie a @proseccodoc bisogna sempre sottolineare brindisi e propositi con solennità! #ProseccoDOC #YourProseccoMoments #ad","['#ProseccoDOC', '#YourProseccoMoments', '#ad']"
BOxaMR4gNu5,_catpeterson,3,289,DAY 6: Karibu Zanzibar! 📷Photo cred @dave.cad,[]
BkN1FSpF9QI,_by.chloe,22,272,"• M O O D 🌴
Ces jolies coques @caseapp et ces petites mules vichy qui me donnent envie de changer d’air ! ❊ Profitez de -20% avec le code 20BYCHLOE et personnalisez à l’infini vos coques ☺️
#flatlay #ad #add #caseapp #caseappdesign #design #flatlaylove #flatlayoftheday #flatlayforever #flatlaystyle #flatlaytoday #parisianstyle #accessories #mules #shoesaddict #summermood #moodoftheday #lovelyday #postoftheday #picoftheday #flatlaypic","['#flatlay', '#ad', '#add', '#caseapp', '#caseappdesign', '#design', '#flatlaylove', '#flatlayoftheday', '#flatlayforever', '#flatlaystyle', '#flatlaytoday', '#parisianstyle', '#accessories', '#mules', '#shoesaddict', '#summermood', '#moodoftheday', '#lovelyday', '#postoftheday', '#picoftheday', '#flatlaypic']"
BajuotZBSYZ,zipporahb_,56,980,"What’s on your list for a Sunday Funday? 😊😊😊 Here’s mine: .
1. A walk in Santa Monica Pier
2. Eat Manila Mango Ice Cream on a Waffle Cone 🤤🍦
3.  Jam and dance on the rhythm of the German Drummer guy that performs ridiculously good in the Pier
4. Ride the ferris wheel and maybe watch the sunset from up there 🎡 
5. Just lay down on the beach and listen to some good music 🎧🎼",[]
Bt6O40QAFO2,_ellifrench,4,50,extra fussy days = lots of snuggles ❤️,[]
BuqXLATFiH0,zenassuitcase,42,438,"🏜 AS FAR AS THE EYE CAN SEE🏜
.
Did you see the Berber house I shared yesterday?  It sat on a hill overlooking a Berber village that sat at the bottom of the mountains. Our driver called them the ‘Mini Atlas’.
.
I wish I could give you a better location but the best I can do is somewhere between Tiznit and the Dam. There aren’t many road signs in this next of the woods.
.
As I look out of my window now and see cars and houses this view reminds me of one of the reasons I enjoy travelling with kids so much. You will never see a place like this if you’re only view is across the street. What do you love to see when you’re travelling? .
Love the sound of this experience? Don’t forget to turn on post notifications for @zenassuitcase! Save this pic for ideas for your trip too. We’d definitely recommend this tour company, which we paid for ourselves 😀 #agadirmorocco #visitagadir #visitmorocco #moroccotravel #traveltomorocco","['#agadirmorocco', '#visitagadir', '#visitmorocco', '#moroccotravel', '#traveltomorocco']"
BPyRcVVh4-o,_sallyjo_,4,2268,Little backstage mirror snap while @kabukinyc was hard at work! 💄 A Vlog of my week will be up on YouTube soon!! ✨,[]
BqumkA6la-o,zoelaz,117,11628,gorgeous morning light with a gorgeous fruit setup🍇🍊🥥 @fscostarica @jetsetterdotcom #likeajetsetter #fspuravida #zoelaztravels #zoelazincostarica,"['#likeajetsetter', '#fspuravida', '#zoelaztravels', '#zoelazincostarica']"
